,帖子内容,发布时间
63,突袭成都大运会运动员餐厅！主厨亲自做菜给我吃？我的大运故事第三只眼看中国L高佑思不是皮克的微博视频,2023-07-20 18:00
64,一早起来看到这则寒心的新闻，真希望咱们的世界能和平点,2015-11-14 11:05
65,以色列要求古特雷斯辞职一个被以军炸得遍体鳞伤的巴勒斯坦婴儿，浑身颤抖，面部惨不忍睹。。。L上帝之鹰_5zn的微博视频,2023-10-25 12:47
66,北极鲶鱼哪来的安全感官方通报北极鲶鱼事件犹太人的前世今生：————可怜之人必有可恨之处！！！L小朱观地球的微博视频L华俊竹de微博的微博视频,2023-10-11 17:09
67,焦点直击中方就巴以冲突表态一切反动派都是纸老虎！！！,2023-10-08 18:53
68,扬州市长书记人民政府扬州市邗江区长书记政府王庆伟被告邗江区长王庆伟被告方巷镇长曹明明被告扬州市邗江区农业农村局长房惠柏村霸保护伞是合法的《顶起来，曝光扬州市副》》http》ht》O网页链接,2023-10-07 05:50
69,扬州市中级法院包庇村霸的保护伞扬州法院法官伪造证据扬州人民盼红军锄奸张泽群山东潍坊村干部原视频西安巨响许家印医药反腐风暴来袭姚瑶自首了扬州新闻《扬州市长书记」「扬州村霸的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州」「扬州》O网页链接,2023-10-09 02:15
70,扬州市中级法院包庇村霸的保护伞扬州市长书记人民政府扬州法院法官伪造证据扬州人民盼红军锄奸张泽群西安巨响许家印医药反腐风暴来袭山东潍坊村干部原视频姚瑶自首了扬州新闻《扬州市长书记」「扬州村霸的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州」「扬州》O网页链接,2023-10-09 02:27
71,扬州市中级法院包庇村霸的保护伞扬州市长书记人民政府洁柔直播间输错价格亏损千万医药反腐风暴来袭许家印扬州新闻《扬州市长书记」「扬州村霸的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州」「扬州身边事」网页链接网页链接《@扬州市中级人民法院「扬州的保护伞是合法的」「扬州》O网页链接,2023-09-29 06:04
72,最全分析：哈马斯袭击是以色列的苦肉计，为打着反恐的旗号进一步欺压巴勒斯坦人？犹太财团出版了夹带私货的圣经，诱骗了不少新教徒支持犹太复国主义，甚至影响美国中东政策。全文：首先，以色列拥有全世界最精良的情报部门之一。在巴勒斯坦激进组织内、黎巴嫩和叙利亚等地方都有线人特工。可这次袭击竟是埃及政府提前3天警告过以方的！却被完全忽略。大名鼎鼎的摩萨德竟毫无预警，美国中情局CIA也自称全无知觉哈马斯袭击准备了1年多，且演习地点距以重兵布防的边界竟不到1英里。袭击前几周，哈马斯还发布了作战演习视频，比如用滑翔伞飞跃以军防线，见图1BBC国家安全记者加德纳也称此次情报失败令人震惊！第二，即便情报预警真是恰好失败，哈马斯如此轻易突破以防线也令人难以置信图2为以军加沙地带的边境的森严部署。100-300米的缓冲区（只许获批的务农人员靠近）、100米以内是无人区、配备摄像头和雷达的哨塔、围栏、深深嵌入地面的金属墙、配备众多传感器、金属墙与无线控制的武器系统相连、配备摄像头的哨塔袭击发生时，高达80%本应在加沙地警戒的以军竟都不在场。在各种精密摄像头和传感器的监控下，沿着围栏移动的猫，都会引起部队的警觉，怎么几百名哈马斯武装分子开着推土机却长驱直入？这一切和以军防御系统的一贯表现非常违和连哈马斯也对以方的门户大开感到震惊。被俘的哈马斯人员说，突破以军屏障后，他们很惊讶并没有以军迎击他们以军是全球最高科技的部队、反恐经验丰富、财力雄厚，竟无力阻止最多仅1000人的哈马斯部队闯过边境大开杀戒？自以建国以来，美国已向其提供了高达1580亿美元军事援助。可袭击发生后，加沙地带的人们被困在避难所里，很多个小时都无任何援助，以军无所作为，警察也不在场许多以军退役老兵说，哈马斯这次袭击，以军不可能事先不知情，甚至在配合哈马斯故意放水。以军有成熟的快速反应和营救方案，哈马斯能如此大开杀戒，极其反常，见图3第三、近年来，以色列社会动荡，各城市爆发了声势浩大的游行不断，抗议内塔尼亚胡总统的“司法改革”，它被视为会削弱以色列最高法院的制衡作用这次恐袭或是犹太精英的一箭双雕。既转移国内矛盾，让大家同仇敌忾，一致对外，又敲打不服从的国民，“若老是闹腾不就范，就不能保证你们的安全“。同时，也有了最好的理由，以保护平民为名，大举进攻加沙，扩大版图以国防部长对有200万人口的加沙全面断电、断粮、断水，还说“在与人形动物作战”。200万人都是动物吗？那里的妇女儿童，难道都是动物？了解犹太法利赛信仰就知道，它对生命有深深的蔑视以色列首席大拉比，奥瓦迪亚·尤塞夫OvadiaYosef是最德高望重的拉比之一，很多政要都是他的铁粉，包括现总理内塔尼亚胡，见图4他说非犹太人活着就该伺候犹太人，还说在安息日时遇到非犹太人生命垂危，不应去营救，因为只有在安息日营救犹太人才不会违背犹太律法他还说犹太大屠杀的600万受害者是罪人灵魂的转世，他们犯了罪，转世是为了赎罪，图5可见，犹太精英不仅视非犹的命如草芥，也视犹太大众的命为草芥大拉比只是在忠实的传递法利赛教的教导而已。《塔木德》Talmud在今天的犹太教徒中地位崇高，可这个所谓的圣书，竟认为非犹不算人，犹太人谋杀了非犹也不用偿命，见图6今天的犹太人，表面上最重圣经，但解读起来都是透过《塔木德》。可是，英美不少新教徒却对以色列复国热心异常，把一个犹太政治工程，当成了他们信仰的一部分他们难道已经忘记把耶稣基督送上十字架的，就是犹太法利赛人？公元1世纪，法利赛人无法忍受耶稣挑战他们的宗教民族主义和揭露伪善和腐败，借罗马人的手杀害了他，今天的犹太精英就是他们的精神后代许多新教徒不知道，在《塔木德》的Gittin.57a.3-4中，明确说耶稣死后在阴间被放在“沸腾的粪便中”boilingexcrement接受惩罚，见图7《塔木德》还称耶稣是行邪术的假先知，说他是玛利亚和罗马士兵的私生子。基督徒所笃信的，犹太法利赛人唾弃为粪土，但嘴上不说，好让许多基督徒继续为他们赴汤蹈火 宗教改革不久后，支持犹太人复国的观点就有发展。1907年，犹太资本借牛津大学出版了司可福圣经ScofieldBible，植入不少私货，说基督徒都要支持以色列复国，这邪说是传统正统教会没有的，传统教会反而处处防备犹太人渗透社会，不是反犹，而是清楚犹太人的渗透和控制倾向司可福圣经背后是众多的犹太大亨，包括希夫、冈珀斯、拉瓜迪亚、斯特劳斯、巴鲁克，他们是犹太银行家、企业家、政治家、社会活动家和哲学家，见图8以色列能复国，很大程度上是攀附了英美势力。1917年英国政府发布了《贝尔福宣言》公开支持犹太复国主义。信是写给罗斯柴尔德家族第二代男爵沃尔特·罗斯柴尔德的。罗氏家族几代人致力于犹太复国运动，见图9犹太宗教民族主义和纳粹主义，正在成为一枚硬币的正反面哈马斯释放两名以色列女性并赠送零食饮料哈马斯袭击是以色列的苦肉计犹太人,2023-10-24 21:34
73,"巴以冲突加沙210万人口平均年龄19岁，妇女儿童占绝大多数。加沙地区人口年龄结构0-14岁:42.53%(男性418,751/女性397,013)15-24岁:21.67%(男性210,240/女性205,385)25-54岁:29.47%(男性275,976/女性289,277)55-64岁:3.66%(男性36,409/女性33,731)65岁及以上:2.68%(男性27248/女性24191)我们对比一下:0-14岁人口占比，加沙42.53%，以色列26.76%，中国17.29%。灾难持续了近八十年，许多巴勒斯坦人根本没有机会变老，频繁冲突和不堪重负的医疗体系，让他们早早离世。谁能想到这已经是2023年的人世间。为加沙的孩子们祝福，为中东百姓祈祷。普京称巴以冲突不要卷入妇女儿童巴以冲突已致加沙地带超1300名儿童死亡巴以冲突已致超4900人死亡感谢何老师整理数据。",2023-10-22 12:16
74,扬州市中级法院包庇村霸的保护伞扬州人民盼红军锄奸@扬州市长扬州市长书记人民政府央视七夕晚会洁柔直播间输错价格亏损千万巴勒斯坦以色列两干部流出不雅视频被停职「扬州的保护伞是合法的」》O网页链接,2023-10-13 17:20
75,扬州市邗江区长书记人民政府王庆伟被告方巷镇长曹明明被告邗江区长王庆伟被告扬州市邗江区长书记方巷镇长村霸扬州人民盼红军锄奸巴勒斯坦巴以冲突升级以色列拉布拉多扬州新闻扬州,2023-10-16 22:07
76,巴以问题巴以最大的问题是分隔解决巴以问题最好的方法是融合二战后美苏英三国推动联大通过巴勒斯坦分治决议从那时起罪恶的种子就已经种下什么时候犹太人和阿拉伯人像我们中国的汉族和五胡六夷融合成一个伟大的华夏民族什么时候巴以问题才会真正解决,2023-10-19 07:53
77,非法是固执的，傲慢的，蒙蔽的，被旧有的正法以及业力誓言束缚的，当正法过时不能再创造世界的福祉再行驶这样的正法即为非法末法，只有毁灭才能重新建立新的文明秩序，而毁灭就是战争，摧毁一切旧有的人，事，物，然而仍然愚昧的有为履行职责“正法正念”束缚的到死都不明正法的可歌可泣悲壮不屈的“英雄”，双方都以“违背正法”为由爱和平，却穷兵黩武，不愿放下武器和观念的僵持。因果的因果背后的真理，真相，正法，因缘，那是至高我的源头上梵。唯有战争毁灭摧毁非法，这场战争，明白正法后，以死从非法中解脱出来，敌我双方都是双胜的，脱离肉身在世间的身份，职责的束缚，这是一场属于正法灵魂的战争，我们不需重回繁荣盛世的大唐，我们需要的是周朝，我们需要的不是武则天，而是姜子牙驱邪归正的周文王，君权神搜的万国大同的万王之王，万教之主！一直多年以来，我们都在追求屈使在物质财富与生存之下，隐匿了自己的梵我，真我，这次的战争看似摧毁城市经带，终结物质文明，这惨不忍睹的毁灭是人类自己玩坏的，而重建的文明是神和正法信使们创造的，以摧毁得重建，以死亡为解脱，世间的一切没有一样是永恒的，唯有梵我永恒灵魂才能得到救赎！通向真理的途径有负面手段也是正法，即使正面的手段用来捍卫非法即为非法，这理拉剧集，这真理，真相，因缘只有源头至高梵懂得，天铸大局，早已注定。真正的超度不是以哪一教，哪一派，哪一师，也不是拘泥哪一教派崇拜的形式，更不是以优越的物质条件的供养，宇宙大自然无私成私，无限施与，最好的供养是布施给需要的人，让世界福祉的能量平衡，超度是自我灵魂的革命，真正的超度是明悟真理，履行正法，无私境界的升华。,2023-05-23 12:27
78,【体操冠军梦，多尔戈皮亚特男子自由体操封王，肖若腾摘铜】东京奥运会体操项目男子自由体操展开决赛的较量。来自🇮🇱以色列的多尔戈皮亚特凭借一套完美的动作，将金牌收入囊中。代表🇪🇸西班牙出战的拉伊德莱·萨帕塔以难度分的劣势，位居第二。入围决赛的唯一🇨🇳中国选手肖若腾@肖若腾vegeta凭借全场最高的完成分排名第三，为中国代表队添得一枚铜牌。比赛最终结果如下：🥇冠军：🇮🇱阿尔特姆·多尔戈皮亚特14.933🥈亚军：🇪🇸拉伊德莱·萨帕塔14.933🥉季军：🇨🇳肖若腾14.766肩负重任，展大将风范；带伤上阵，显英雄本色。感谢八位运动员，在决赛为大家奉献的精彩表现。东京奥运会｜肖若腾获自由操铜牌｜共同强大,2021-08-01 16:52
79,韩国女厕给外国人带来的冲击笑话的爷爷：————开国际玩笑！！！,2023-10-12 22:25
80,缅北多地爆发军事冲突，外交部：呼吁有关方面尽快停火止战，确保中缅边境安全稳定。（央视）中方高度关注缅甸冲突外交部呼吁缅甸有关方面尽快停火止战L中国反邪教的微博视频,2023-10-27 17:34
81,犹太人是公元前1100年来到迦南的，伊路撒冷的第一宫殿第二宫殿都是犹太人修建的。阿拉伯人是公元7世纪早期来到这里的，谁应该是这里的主人?我怎么发现；这个世界都在颠倒黑白。,2023-10-31 14:21
82,我爱我家，不愧是一部神剧啊，真是包罗万象了L老李滔滔不绝的微博视频,2023-10-17 21:37
83,最想去的国家就是巴基斯坦上面的克什米尔可惜一直战乱，记得看小萝莉与猴神大叔的片段里，克什米尔好漂亮,2023-10-09 21:04
84,猶太人為什麼那麼成功？背後到底有什麼隱藏的秘密？|猶太人的歷史故事|猶太人的介紹【熊思維】L武力统一的微博视频,2021-05-14 22:01
85,案件通报我叫王玲霞，父母相继去世半年后的一天我突然收到奉节县人民法院传票，原来是我的姐姐王玲艳（重庆市三峡银行大渡口区退休行长）的老公刘家林（奉节县政协退休老干部）向奉节县人民法院起诉我强占他的住房，要求法院强制执行把瘫痪在床的我赶出家门。我聘请代理律师积极应诉，直到此时我才知道由于父母生前一直没有办理房产证，刘家林夫妻将我父亲王锡洪名字的购房合同与收款收据悉数销毁，他们私刻公章（肉眼可见的大小不一）伪造收款收据（毫无法律效应的白条收款）和购房合同（肉眼可见纸张崭新属于近期形成）将我父母生前购买了长达19年多的住房依靠关系非法办理了刘家林名字的产权证公然向法院提起了这场诉讼。尽管我家近六十位亲友们都替我作证，我的代理律师向人民法院提交的多组证据已经形成了一个客观、有效且完整的刘家林涉嫌伪造证据罪侵占我父母留给我的住房的证据链条，但是奉节县人民法院和万州中级人民法院却以我拿不出父亲名字的购房合同与收款收据为由一味驳回我的起诉、上诉、另案起诉再上诉。面对这一残酷的现实，作为一个生在红旗下，长在新中国也曾受过高等教育的我来说无异于晴天霹雳，如果这一切匪夷所思的事情不是发生在我自己身上，我怎么也不敢相信在律法日益完善的今天，在廉政建设如火如荼的当下，重庆市司法腐败至此！王玲霞，电话:13896907206.,2021-12-10 08:41
86,扬州市长书记」扬州市长书记人民政府扬州市中级法院包庇村霸的保护伞西安巨响许家印「扬州村霸的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州」「扬州身边事」网页链接网页链接@扬州市中级人民法院西安巨响「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州旅游」「扬州新闻」「》O网页链接,2023-10-02 05:25
87,她可是你嫂子生死看淡：————不服就干！！！L定州安胖胖的微博视频,2023-09-20 20:06
88,巴以冲突以来，群友仍执意做空，观点有分歧，说我看多油价，其实是看不懂，在当前局势升级，宏观情绪不稳的情况下，我只看到了风险。说我看空，倒也不是，如果油价跌到80以下，还是认为可以抄底。图1，不知不觉巴以冲突已经过去了，垂直蓝线代表周5夜盘，但第1根代表周1开盘。第1周周1高开是因为周末冲突开始。第2周周五，担心周末局势升级。第3周周五，即昨晚，亦如是。图2，指标显示，避险情绪升温。,2023-10-28 08:09
89,狼传奇起伏在海东青蓝色呼吸的迷醉的梦，紫蓝色繁蔓萦绕的花园，野人海的传奇回荡着玛尼石静静的誓言，交融着所有挚爱血脉至亲的欢语厚爱层层复覆祝福，金色的天空，红底金的跳跃欢蜜，如那漫天的雨浸润葱茏，缠绵自雪莲谷的合音，5023的清晨与深夜蔓延未来时空，交织萦绕于心底的歌声，天地震鸣，吉祥鸟飞腾着光和爱的天池沙漠草原大海，月与日缠绵同辉自由，10月大地香浓炽烈，东方明珠的岛发出光的合音恢宏了天空，记忆江水环绕，这星球如此神秘汹涌，行于宇宙的浩瀚，狼传奇狼，指环着指，桀骜，深烈……每个清晨如光……诞生了生与生的无尽……狼传奇……,2023-10-15 06:49
90,扬州市长书记」「扬州村霸的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州」「扬州身边事」网页链接网页链接@扬州市中级人民法院西安巨响「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州旅游」「扬州新闻」「微博」「》》》O网页链接,2023-09-27 22:08
91,扬州市中级法院包庇村霸的保护伞扬州村霸的保护伞是合法的扬州市长书记人民政府医药反腐风暴来袭扬州大学洁柔直播间输错价格亏损千万《主动投案！海南省第一中级人民法院四级高级法官周果果被查》海南省第一中级人民法》O网页链接,2023-09-25 05:32
92,扬州市中级法院包庇村霸的保护伞洁柔直播间输错价格亏损千万西安巨响许家印医药反腐风暴来袭扬州新闻《扬州市长书记」「扬州村霸的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州」「扬州身边事」网页链接网页链接《@扬州市中级人民法院「扬州的保护伞是合法的」「扬州》O网页链接,2023-09-29 22:27
93,扬州市长洁柔直播间输错价格亏损千万」「扬州市中级法院包庇村霸的保护伞」「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州旅游」「扬州新闻」「微博」「法官说法」「扬州新闻」扬州市邗江区农业农村局长房惠柏保护伞是合法的20》O网页链接》O网页链接n/A6O3g9hZ,2023-09-30 05:22
94,@扬州市长扬州市中级法院包庇村霸的保护伞洁柔直播间输错价格亏损千万西安巨响「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州旅游」「扬州新闻」「微博」「法官说法」「扬州新闻」扬州市邗江区农业农村局长房惠柏保护伞是合法的2020年11月》网页链接》@扬州市长「扬州的保护》O网页链接,2023-09-27 22:00
95,@扬州市长扬州市中级法院包庇村霸的保护伞「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州旅游」「扬州新闻」「微博」「法官说法」「扬州新闻」洁柔直播间输错价格亏损千万扬州市邗江区农业农村局长房惠柏保护伞是合法的2020年11》O网页链接,2023-09-25 05:42
96,扬州市中级法院包庇村霸的保护伞扬州市邗江区农业农村局长房惠柏村霸保护伞是合法的扬州村霸的保护伞是合法的洁柔直播间输错价格亏损千万扬州新闻《主动投案！海南省第一中级人民法院四级高级法官周果果被查》海南省第一中级人民法院四级高级法官周果果涉嫌严重违纪违法，主动投案》O网页链接,2023-09-25 05:34
97,中国的平台到底听谁的？知乎管理运营方有必要考虑考虑,2023-10-30 21:52
98,巴勒斯坦医务人员笑着笑着就哭了据@北京时间，当地时间10月28日，社交媒体流传的一段视频显示救护车上，巴勒斯坦医务人员哄着刚刚救出来的婴儿，笑着笑着就哭了...….L观察者网的微博视频,2023-10-29 18:10
99,巴以冲突你还觉得三战离我们很远吗？你还认为人类文明被摧毁只是假说吗？感恩我们在祖国的怀抱，珍惜和平，团结一心，建设强大祖国。冲锋一角L北栀旧景的微博视频,2023-10-30 19:04
100,扬州市长书记人民政府邗江区长王庆伟被告方巷镇长曹明明被告扬州市邗江区长书记政府王庆伟被告洁柔直播间输错价格亏损千万西安巨响《顶起来》O网页链接,2023-09-28 05:51
101,@扬州市长扬州市长书记人民政府扬州市中级法院包庇村霸的保护伞央视七夕晚会洁柔直播间输错价格亏损千万西安巨响扬州新闻「扬州的保护伞是合法的」「扬州市邗江区农业农村局长房》O网页链接,2023-09-27 22:11
102,扬州市中级法院包庇村霸的保护伞洁柔直播间输错价格亏损千万西安巨响许家印医药反腐风暴来袭扬州新闻《扬州市长书记」「扬州村霸的保护伞是合法的」「扬州市邗江区农业农村局长房惠柏保护伞是合法的」「扬州」「扬州身边》O网页链接,2023-09-30 05:29
103,这段话放到今天太合适了ps.年轻的王志文，台词真的好啊不用字幕都很清晰L不能再睡了__的微博视频,2023-10-14 15:53
104,苏绣：苏绣高科技与苏绣大众化这是会粹和非遗争论了三十多年的传承观点，但，都是为了祖国的繁荣富强，为了中华民族的伟大复兴！现在结果是：非遗提倡的“苏绣”大众化，使苏州绣女收入，只有3—20元左右/小时，绣女养不了家，也糊不了口，导致：苏州三十万绣女放弃绣业，另择它业，苏州90后，就从小不学刺绣，母传女，姐教妹的，苏绣原生态遭破坏，所以，非遗提倡的大众化“苏绣”10—30年内将彻底消失！,2023-03-06 17:38
105,苏绣创新保护/百万年薪邀请江苏省委原吴政隆书记二次批示，维护苏州会粹公司的苏绣专利权，苏州市知识产权局工作绣品街，把绣品街招牌苏绣改为刺绣！会粹苏绣（高科技）肖像家谱/艺术品：不但是领先非遗提倡的大众化“苏绣”百年的艺术，还是世界上永远无法逾越的，会粹发明的苏绣“深浅远近”绝技！是你帝皇般的享受，绣你及家人像世界名画一样流芳百世！,2022-04-08 06:26
106,巴勒斯坦问题峰会今天的中国新疆与巴勒斯坦加沙,2023-10-22 09:45
107,苏绣专利苏绣：【苏绣创新你保护，百万年薪我邀请】苏绣传承：      非遗用刺绣顶替苏绣达三十年，市面上苏绣技艺早失传；会粹用巨资抢救苏绣，发明苏绣“深浅远近”绝技，把人的灵魂绣在《肖像家谱》里，开创人类灵魂的艺术归宿，是人类文明的伟大创举创新，是人类真正属于自己的传家宝！世间万物终将去，唯留会粹苏绣《肖像家谱》！苏绣专利：【会粹苏绣（高新艺术）肖像家谱】是把人的灵魂绣在苏绣专利里，是领先非遗提倡的大众化“苏绣”百年的绣技，是帝皇般的享受；绣你青春到永远，绣你及家人，像世界名画一样流芳百世！,2023-07-04 09:54
108,苏绣专利苏绣：【苏绣创新你保护，百万年薪我邀请】苏绣传承：       苏绣，俗称“少女绣”，“闺阁绣”，已有二千四多年的传承历史，却与现在苏州的奶奶绣，已经没有丝毫纠葛；苏州90就从小不学刺绣了，苏绣原生态早已被破坏！问：让举世闻名的苏绣放在记忆里？写在书籍里？存放在历史的长河里？苏绣专利：【会粹苏绣（高新艺术）肖像家谱】是把人的灵魂绣在苏绣专利里，是领先非遗提倡的大众化“苏绣”百年的绣技，是帝皇般的享受；绣你青春到永远，绣你及家人，像世界名画一样流芳百世！,2023-07-24 06:58
109,如果你也愿与以色列同在，白纸蓝笔🇮🇱私信我们留下你的支持笔迹以色列,2023-10-12 14:22
110,国际歌【唱】L国际歌【唱】,2019-01-11 09:15
111,钟宇晨的小闹钟肖战王嘉尔苏绣：苏绣创新你保护，百万年薪我邀请苏绣传承：      苏绣是绣灵魂，刺绣是绣画面；苏绣是原创，刺绣是临摹；苏绣是东西方画技糅合的创造过程，刺绣是对已有图案的绣花；苏绣是少女绣，刺绣是奶奶绣；苏绣是高级的收藏艺术品，刺绣是一般的礼品工艺品；苏绣是“精细雅洁”+“深浅远近”，刺绣是女性+男性；苏绣是收藏升值，刺绣是消费贺礼苏绣专利：会粹苏绣《肖像家谱》灵魂绣，是领先非遗提倡的大众化“苏绣”百年的绣技，是帝皇般的享受,2023-09-06 13:05
112,Beyond之夜🎼🎼🎹🎬🎧🎤AMANI！纪念黄家驹逝世30周年怀念黄家驹黄家驹迷LListenjack的微博视频,2023-07-23 00:00
113,如果孩子的出生，是为了继承自己劳碌恐慌贫困，那么，不生也是一种善良。——张爱玲,2023-10-21 10:57
114,山东最牛搬家公司在海南干了件大事有了金钢钻：————何惧瓷器活！！！L宅女吉丽的微博视频众志成城之人定胜天,2023-01-06 09:37
115,"苏绣专利&""闫妮李晨辟谣恋情传闻王俊凯张艺兴易烊千玺周深朱一龙A股奔驰苏绣苏绣：苏绣创新你保护=百万年薪我邀请苏绣传承：      苏绣是绣灵魂，刺绣是绣画面；苏绣是原创，刺绣是临摹苏绣是东西方画技糅合的创造过程，刺绣是对已有图案的仿制绣花；苏绣是少女绣，刺绣是奶奶绣苏绣是高级的收藏艺术品，刺绣是一般的礼品工艺品，苏绣是“精细雅洁”+“深浅远近”，刺绣是女性+男性苏绣是收藏升值，刺绣是消费贺礼苏绣专利：会粹苏绣《肖像家谱》灵魂绣，是领先非遗提倡的大众化“苏绣”百年的绣技，是帝皇般的享受",2023-09-20 10:38
116,巴以现场这张照片来自加沙城内的希法医院，战争的残酷，非旁观者可想象。如果你只是个孩子，或承受能力有限，请不要点开大图，因为世界依然可以假装很美好。,2012-11-20 20:56
117,转发：10月28号:一名住在以色列的巴勒斯坦女生说清楚了哈马斯的本质，区别哈马斯与巴勒斯坦人现在全世界都在喊“自由巴勒斯坦人”，他们可能不知道以下几个事实：-超过200万巴勒斯坦穆斯林和平地生活在以色列境内-每天有50万不与哈马斯恐怖分子合作的巴勒斯坦人越过边境到以色列工作-哈马斯在巴勒斯坦消灭所有试图与他们对抗的竞争对手，“从河到海、解放巴勒斯坦”是要把以色列人赶尽杀绝-以色列在给加沙地带提供水、电、互联网等所有基础设施和服务。恐怖分子利用以色列提供的资源挖地道、存储弹药，司机攻击以色列-哈马斯当局每年收到世界各地的援助7亿美元，并将其用于恐怖活动加沙居民和巴勒斯坦人应该与以色列合作，铲除哈马斯恐怖组织，才能有机会实现和平。L西雅图Dr杨的微博视频,2023-10-29 16:25
118,有人问：“老牛，你作为一个财经博主和基金经理，为什么要频繁谈论时政呢？你的本职工作就是理财，不是吗？”我也渴望成为一个纯粹的、快乐的基金经理。巴菲特多次提到，他之所以能够取得成功，部分原因是因为他生在美国，“中了卵巢彩票”。他不必过多担心政治和经济政策，不必为不公平的现象发声，也不必批评不合理的设计……有些人懂得如何吸引关注，当股市下跌时，他们站在散户的立场上，责骂公募、大股东、量化交易，责骂制度，甚至责骂监管机构。这些言论容易引起散户的义愤。然而，当这些问题得到了一定程度的处理时，但股市涨了吗？股市的走势与经济息息相关，而经济又与时政密切相关。当经济陷入困境，企业家和投资者失去信心时，仅仅通过修改一些技术性制度，很难解决问题。这就是我关心时政、表达观点的原因。当然，我明白，作为一个普通人，我的言论或许像空气一样微弱，可能没有太大的影响力。然而，我仍然认为，需要有人站出来，发出声音。每一个爱国之人，都应该为国家的发展献计献策。股市已经下跌了两年多，已经充分反映了利空情况，向下的空间有限。尽管向上的动力不足，但结构性机会依然值得期待。我相信，只有那些深爱着这片土地的人，才会愿意冒险去做一些事情！我希望，每一颗赤子之心都应该受到鼓励和善待！,2023-10-03 14:26
119,【知名大学校长推荐书单（下）】①宁夏大学校长《时间简史》②华中科技大学校长《论中国》③南京大学校长《沉思录》④上海交通大学校长《苦难辉煌》⑤武汉大学校长《中国哲学简史》⑥浙江大学校长《五千年犹太文明史》⑦香港科技大学校长《神雕侠侣》⑧四川大学校长《改变自己，改变世界》。,2014-04-22 22:19
120,伊朗人支持谁？巴勒斯坦/哈马斯？还是以色列？这得看在哪里的伊朗人了。昨天，巴黎的伊朗人打出以色列旗号，支持以色列。巧的是，我在美国的社区里认识一个伊朗裔的家庭。他们家的三个孩子，两男一女。那个女孩跟梅小师以前是同班同学。所以，常邀请我去他们家坐坐聊天。男主人说，他的父亲是伊朗的教授，当年从伊朗带着全家辗转逃到美国落脚。聊到伊朗的很多情况，他常说的一个词叫“你懂的”。L梅大师飞越美中的微博视频,2023-10-25 09:22
121,10月22日据环球军事+，加沙遭多次空袭，一对兄妹滞留在医院，当哥哥用平常的语气说父母双亡，采访者也崩不住了…🙏🙏🙏加沙中东军情以色列中东军情LA退伍军人的微博视频,2023-10-23 16:54
122,2025、2026、2027，这几年或出现全球性的科技革命，进入另一次人类科技飞跃时期。有可能是脑神经科学、人工智能、网络或通讯技术、交通运输技术方面的大突破。但同时，这几年出现大型战争的风险也比较高。或许，恰恰就是战争时期引发急迫的军备竞赛，催生出来的技术突破。金融星象,2022-07-30 22:26
123,《止杀令》讲述了全真教道长丘处机为了劝成吉思汗止杀东归，不惜西行35000里呼唤和平、弘扬大爱的故事。影片是一部气势磅礴的作品，集结了中日韩三地的演员，由赵有亮、涂们、李小冉、余少群、耿乐、中泉英雄、朴艺珍、徐锦江等人主演。LCCTV6电影频道的微博视频,2020-03-21 12:50
124,任何的借口都不能成为以色列占领军屠戮巴勒斯坦无辜妇女和儿童的理由，以色列近来又在联合国“一哭二闹三上吊”，无非就是两个目的，一是为以色列军队抢占加沙的土地和驱赶难民争取时间，二是宣扬以色列搞大屠杀的所谓“正义性”，这两个观点我们完全不能接受，我们认为以色列已经在宗教极端主义思想的道路上越走越远，全世界所有爱好和平的正义之士应当团结起来，共同谴责并制裁以色列的反人类行为！以色列拒绝联合国停火决议以色列L赵盛烨的微博视频,2023-10-31 17:18
125,今天见朋友，路过这么个地方。以色列向中国输出的是技术与创新，哈马斯向中国输出什麽？,2023-10-29 16:53
126,【巴以乱局最全时间线】巴以冲突何以至此，又将走向何处？>>O网页链接哈马斯为何对以色列发动突袭,2023-10-09 21:00
