,Unnamed: 0,帖子内容,发布时间
324,16558,"港風的愛戀：許多影視可見那時對香江流行文化的嚮往～像賈樟柯「山河故人」的趙濤～直至今日內娛仍不乏讚美女星有「港風」風華；那～什麼是港式風華？又什麼才是香江流行文化代表？可以從鍾楚紅、王祖賢、徐小鳳、梅艷芳、李嘉欣乃至鄭少秋、汪明荃、甄妮、顧嘉煇等流行樂界討論一下。
像鍾楚紅這張硬照～衝突性強的色塊、像一桶桶廣告顏料潑刺倒入沸騰的海水撕殺；熱辣滾燙的南國之火、強烈而又張狂；她的代表性因此超越梅艷芳、關之琳這兩位「香江的女兒」「香江第一美人」。有人抬出李嘉欣叫板關的「＿＿美人」頭銜是完全說不通的～李嘉欣混血葡萄牙的臉決定了她只能是澳門美人～這就好像迪麗熱巴雖然在滬上就學、就業、成名、大紅，她仍然不是上海首席美人一樣～她就是西北美人，甚至喜歡她的認為她是中華最美都說得通。
之前秀過圖三這本顧嘉煇特輯引發一些好奇：就是排次論座，起碼那時無線電視台高層和顧嘉煇認為鄧麗君、汪明荃、甄妮、鄭少秋、羅文要比其他人重要。至於內文排位：泰迪羅賓對標溫拿五虎唱熱門音樂，極易理解；那時當然四大天王還沒崛起，許冠傑沒被列入係因為他是唱作人、以演唱自己作曲為主。無論如何，徐小鳳以翻唱國語老歌起家，1978年顧嘉煇為她寫出「大亨」是她主唱的首支粵語歌曲。從那時起一路披星戴月，她終於成為其歌迷口中的「神鳳」。徐小鳳確立了港樂「傳承」的風範～她向白光致敬，她又啟發了梅艷芳並接受她的致敬（梅姑模仿她穿波波裙），讓人認知到流行曲的詮釋和成就，可以成為文化的累積，可以成為一門藝術。她的面相因此轉換為國泰民安，成為富足的象徵。
徐小鳳翻唱起家，因此她有些獨到的唱功，必須從翻唱尋覓：一首是陸小鳳的「誓要入刀山」，她的演唱極其豪邁灑脫，富江湖味兒；它讓人想起邵氏或台式武俠片那種不太存在的市井擂台的氛圍。一首是翻唱顧嘉煇的「愛你變成害你」～全套音樂劇「白孃孃」的金曲。這套音樂劇不太成功～如果白素貞是穿越到現在變成夜總會賣唱養小白臉的歌女，那全曲的氛圍刻畫堪稱淪肌浹髓；但現在既然不是，那麼裡頭末世紀紙醉金迷的悲愴就成為古裝的笑話。徐小鳳翻唱只唱這首，以她當時已是全港夜總會歌廳頭牌，氣氛掌握得極為成功。",2023-08-24 09:36:08
325,16609,《中印东段实控线向南推进十几公里，已收回西让村和雅鲁藏布江以东区域。 西让村位于雅鲁藏布江西岸，北接地东村，南临更仁村，距背崩乡政府22公里，离墨脱县50公里，距印度实控线最近村庄之一，西让村村民主要为门巴族人，共计100多人。村庄附近雅鲁藏布江大转弯区域，具有多种意义，可扼守泸公河、雅鲁藏布江和巴拉山，还可建立大型水电站。自上世纪60年代以来，中印反复争夺该地区的控制权，但我军牢牢守住了国家领土，不辱使命。近年围绕更好利用雅鲁藏布江，我国基础设施建设热火朝天，墨脱水电站已在规划中。为此，2017年我方与印军就公路建设发生过冲突，我边防部队将印度军队挤退了十几公里。 一旦墨脱水电站建成，它生产的巨大水电相当于8000万吨煤的燃烧能量，不但为我国尽早实现碳达峰做出贡献，也对邻国形成战略优势。 目前，西让小康村已竣工，而更重要的派墨公路也已落成。只需不到十分钟车程便能通过嘎隆拉隧道穿越喜马拉雅山。战备公路紧靠西让村，跨过泸公河桥，已经修至更巴拉山口。》,2023-08-25 12:59:09
326,16659,"#泰国星暹新闻#【巴育发文告别第29任总理之位 称当总理是人生中最有意义的时刻】
8月26日，前总理巴育在个人社交账户上发文称，过去的9年是人生中最有意义的9年，国家实现了跨越式发展，感谢所有一起努力的人，相信泰国一定能赢得胜利。

在文中，前总理巴育表示履行总理职责是最有意义的时刻，能够施展才华、造福国家，让国家实现跨越式发展。同时他也向全体泰国人民表达了感谢，他们为了国家再次好起来做出了牺牲和忍受。

文中写道：
亲爱的泰国人民，纵观担任泰国第29任总理的9年，是人生中最有意义的时刻。我为保护我们所有人的家乡努力了9年。是我用我的智慧，奉献每一份潜力和能力，汇聚各界力量，为国家和人民创造利益的9年；也是泰国实现了突飞猛进的发展，在许多领域取得的进步可与其他文明国家相媲美，在不久的将来将提升至世界领先国家的9年。

1、 这是泰国首次推出的20年长期国家战略，为国家各方面发展提供持续的指南针和理念框架，这是各部门共同努力的目标，推动国家在各个层面实现可持续发展。
2、 公路、铁路、海运、空运等各个系统的交通基础设施都有大量投资，以支持国家未来的经济和社会增长，提升国家的地缘政治地位，让泰国成为物流、航空、货运和旅游等中心。

3、 在打造““数字经济”与“平台经济”方面做好准备，在区域内电信、数字和5G基础设施方面拥有出色的投资，吸引了许多世界领先企业的投资，这将提升泰国作为区域内重要的5G -数据中心-云服务中心的作用。提高所有群体、职业的民众的生活质量并创造更高的收入。

4、 打造未来行业中的12个目标行业，包括东部经济特区（EEC）和特殊经营经济促进区，涵盖医疗、创新、数字业、智慧农业等，成为高技能工人、未来工人的孵化源泉，以满足未来劳动力市场和21世纪国家发展。

5、 建立国家重要资源管理机制。水资源方面，成立泰国首部《水法》，成立国家水资源办公室来整合各级水务机构。土壤资源方面，成立国家土地政策委员会并绘制One Map地图，解决几十年来的土地重叠问题，将耕地分配给穷人和农民。森林资源方面，出台关于社区森林、珍贵木材和碳信用市场的法律，促进国家绿化面积增加。

6、 人力资源开发，例如提高儿童、老人、残疾人等弱势群体的福利；发挥教育公平基金、司法基金和国家储蓄基金的作用，创建一个平等的社会，不让任何人落后；通过教育提升人力资源潜力，迎接未来世界的新挑战。

7、 改革法律，消除其在国家发展中造成的障碍。提升竞争力，促进业务运营，并吸引投资为泰国创造收入，包括修改和落实法律以满足国际标准，能够在许多事情上解决国家危机，例如解除国际民航组织的红旗警告、解决IUU非法捕鱼问题，在全球舞台上树立对泰国的信心。

8、 在泰国政府体系中应用现代技术，让公众更便捷、透明地使用服务。例如，国家福利卡 有助于帮助弱势群体， UCEP热线1669提供免费紧急医疗服务等。

9、 全球关系均以双边-多边的形式进行，包括自由贸易区（FTA）和恢复泰国与沙特的关系。扩大双方合作、交流经验和贸易市场。

然而，过去9年的泰国前进之路并不顺利，仍然存在着新冠肺炎疫情，世界冲突危机到目前还影响着能源价格、生活成本和通货膨胀。但只要有合作和团结，能帮助我们克服各种障碍，在世界局势持续波动的背景下延续了恢复性增长态势。

我要感谢所有泰国人民、政府工作人员以及所有部门，为公众、为社会、为国家能再次坚强地回归，他们在过去中都做出了牺牲和忍受。我有着绝对的信心泰国从今天开始，如果我们构建的所有内容都在扩展，则将不再从 1 开始计数，它将使我们能够更快地到达“胜利线”。
（编译：橙子 信息来源：泰叻报）",2023-08-26 13:20:00
327,16710,《中东战争_百度百科》中东战争是指以色列与埃及、叙利亚等周围阿拉伯国家所进行的5次大规模战争。几十年的斗争使双方意识到，战争解决不了阿以冲突。从第四次中东战争后，中东地区开始了漫长曲折的和平发展道路。1991年，中东和平会议终于在“以土地换和平”的原则基础上举行，以色列和巴勒斯坦第一次共同坐到了谈判桌前。1993年，巴以双方在华盛顿签署了巴勒斯坦首先在部分地区实现自治的原则宣言，中东地区的和平出现了曙光。但是，不断发生的暴力冲突，时断时续的和谈，表明了中东和平的实现还有很长的路要走。,2023-08-26 20:11:01
328,16761,"【匈牙利外长：对俄制裁没效果反而打击自身，全世界都在嘲笑欧盟】“欧洲正以支持乌克兰的名义摧毁自己。”据《匈牙利民族报》8月26日报道，匈牙利外长西雅尔多当天发表讲话称，欧盟的对俄制裁政策已经成为国际社会的笑柄，制裁不仅没能摧毁俄罗斯经济，反而对欧洲自己的经济造成了“致命打击”。

报道称，西雅尔多26日出席了在匈牙利巴拉顿湖畔小镇蒂豪尼举行的保守派政治活动“Tranzit”。他在讲话中指责部分欧洲政客陷入“战争精神病”，卷入了美国发起的“对乌军事援助竞赛”。他直言，欧洲政客接受了美国的“挑衅”，“我们实际上正在摧毁欧洲”。

西雅尔多还指出，欧盟对俄罗斯的制裁政策是失败的，制裁没能让俄罗斯屈服，反倒打击了欧洲自己的经济，“欧盟采取了11轮制裁，可俄罗斯经济并没有崩溃，冲突还在持续。这就是欧盟制裁政策在世界各地遭到嘲笑的原因。”

西雅尔多强调，匈牙利拥有欧洲“最合法、最自主的外交政策”，会优先考虑匈牙利本国的利益。他重申匈牙利政府的立场，呼吁俄乌冲突双方停火，“唯一在道义上站得住脚的立场，就是战争必须在这一分钟内结束。” 

《匈牙利民族报》称， 匈牙利总理欧尔班25日也在“Tranzit”发表讲话。谈及俄乌冲突，他指责“英语国家”试图为俄乌冲突设立“正确的道德立场”，“他们不仅代表自己的利益，还声称自己在所有事情上都具有道德优越性。”

欧尔班回忆说，自俄乌冲突爆发以来，他是欧盟仅有的反对卷入冲突的领导人，“欧盟将冲突扩大到了全球，他们相信只要欧盟提供资金和武器、乌克兰人牺牲生命，俄罗斯就会被击败。但事实证明，这种策略是行不通的。”

欧尔班表示，呼吁和平的观点在欧盟和西方世界不受欢迎，在媒体或论坛上号召和平只能换来嘘声。但他强调，匈牙利政府将坚持在乌克兰问题上的立场，呼吁俄乌双方立即停火并举行和平谈判。

“Tranzit”是匈牙利保守派自2009年起举办的大型政治活动，其目的是加强匈牙利国内文化、科学、政治和经济生活参与者之间的交流对话。这也是欧尔班自2012年以来首次参加“Tranzit”活动。 
来风闻看全文，参与更多讨论→",2023-08-27 15:08:00
329,16811,"【匈牙利外長：對俄制裁沒效果反而打擊自身，全世界都在嘲笑歐盟】
“歐洲正以支持烏克蘭的名義摧毀自己。”據《匈牙利民族報》8月26日報道，匈牙利外長西雅爾多當天發表講話稱，歐盟的對俄制裁政策已經成為國際社會的笑柄，制裁不僅沒能摧毀俄羅斯經濟，反而對歐洲自己的經濟造成了“致命打擊”。
報道稱，西雅爾多26日出席了在匈牙利巴拉頓湖畔小鎮蒂豪尼舉行的保守派政治活動“Tranzit”。他在講話中指責部分歐洲政客陷入“戰爭精神病”，捲入了美國發起的“對烏軍事援助競賽”。他直言，歐洲政客接受了美國的“挑釁”，“我們實際上正在摧毀歐洲”。
西雅爾多還指出，歐盟對俄羅斯的制裁政策是失敗的，制裁沒能讓俄羅斯屈服，反倒打擊了歐洲自己的經濟，“歐盟採取了11輪制裁，可俄羅斯經濟並沒有崩潰，衝突還在持續。這就是歐盟制裁政策在世界各地遭到嘲笑的原因。”
西雅爾多強調，匈牙利擁有歐洲“最合法、最自主的外交政策”，會優先考慮匈牙利本國的利益。他重申匈牙利政府的立場，呼籲俄烏衝突雙方停火，“唯一在道義上站得住腳的立場，就是戰爭必須在這一分鐘內結束。”
《匈牙利民族報》稱， 匈牙利總理歐爾班25日也在“Tranzit”發表講話。談及俄烏衝突，他指責“英語國家”試圖為俄烏衝突設立“正確的道德立場”，“他們不僅代表自己的利益，還聲稱自己在所有事情上都具有道德優越性。”
歐爾班回憶說，自俄烏衝突爆發以來，他是歐盟僅有的反對捲入衝突的領導人，“歐盟將衝突擴大到了全球，他們相信只要歐盟提供資金和武器、烏克蘭人犧牲生命，俄羅斯就會被擊敗。但事實證明，這種策略是行不通的。”
歐爾班表示，呼籲和平的觀點在歐盟和西方世界不受歡迎，在媒體或論壇上號召和平只能換來噓聲。但他強調，匈牙利政府將堅持在烏克蘭問題上的立場，呼籲俄烏雙方立即停火並舉行和平談判。
“Tranzit”是匈牙利保守派自2009年起舉辦的大型政治活動，其目的是加強匈牙利國內文化、科學、政治和經濟生活參與者之間的交流對話。這也是歐爾班自2012年以來首次參加“Tranzit”活動。
此前，匈牙利政府已多次在各個場合對歐盟政策表示不滿，多次反對擴大對俄制裁。今年3月，西雅爾多接受瑞典國家電視台採訪時表示，歐盟對俄制裁未能解決衝突，反而傷害歐洲自身，“我認為，我們一直試圖在歐洲尋找的‘解決方案’根本沒有奏效，因為我們深陷戰爭心理。”
西雅爾多認為，衝突的持續只會造成更多的死亡，依賴俄羅斯能源的歐盟國家將成為最大輸家。
西方國家已經對俄羅斯實施了規模空前的經濟制裁，但俄羅斯經濟並未像西方想象得一樣“崩潰”。德國外交部長貝爾伯克近日接受德國記者採訪時也承認，西方的制裁沒有對俄羅斯產生經濟影響。
俄羅斯聯邦國家統計局8月11日發佈的初步數據顯示，俄羅斯第二季度國內生產總值（GDP）增長4.9%。這是自俄烏衝突以來連續遭遇四個季度負增長之後，俄羅斯GDP首次實現季度正增長。俄經濟發展部副部長波利娜·克留奇科娃評論稱，製造業是俄羅斯經濟增長的主要動力，貿易也在逐步復蘇。
目前，國際貨幣基金組織對2023年俄羅斯經濟的預測相對樂觀，在7月的報告中預計今年俄羅斯GDP將增長1.5%。俄羅斯總統普京則在6月的聖彼得堡國際經濟論壇開幕前表示，預計2023年全球經濟發展將持續放緩，俄羅斯GDP可能增長1%到2%。（來源：觀察者網）
#日本3天连发5次地震##女子发现网红探访的凶宅是自己家##福岛真相#",2023-08-27 17:23:24
330,16862,"北约国家的军事领导层可以说服乌克兰指挥部改变进攻策略。北约军事委员会期间讨论了如何解决乌克兰武装部队进攻停滞的问题。 这次会议的结果是乌克兰武装部队改变了战略，只将精力集中在前线的一个地区，集中在扎波罗热方向以获得突破。
扎卢日内带着他的整个团队从基辅出发，踏上了大约 300 英里的旅程参加北约军事委员会会议，会议的目的是帮助重新制定乌克兰的军事战略，会议讨论为什么乌克兰的反攻进展停滞不前，还有为即将到来的严冬而战的计划，以及随着战争不可避免地临近2024 年而制定的长期战略。
然而乌克兰武装部队地面部队司令希尔斯基在库皮扬斯克附近调兵时拒绝听从五角大楼的建议，需要从其他地方调兵回援库皮扬斯克，不然库皮扬斯克危险了。希尔斯基保卫巴赫穆特失败，这次库皮扬斯克估计也一样，但是由于乌克兰武装部队投入最后力量突破扎波罗热，乌克兰武装部队不会不计代价投入到库皮扬斯克，很难形成巴赫穆特式绞肉机。 
#关注俄乌冲突最新进展##俄乌战争##俄乌局势#",2023-08-27 19:15:28
331,16913,"我妈真的是这样。她觉得她教育下的我特别成功，经常和别人分享她的育儿经验。但实际上我觉得我最大的成长都是来源于大学我独处的时候。

我还记得有一次生日我想吃御品轩的蛋糕，御品轩离我家很近，就七八百米吧。然后回家后我发现我妈买了别的，我就不太高兴说我过生日想吃个蛋糕都没有，她就突然暴怒了，说我辛辛苦苦给你做一大桌饭你就这态度？然后哭着说这蛋糕你爱吃不吃，接着把蛋糕狠狠拨到地上，蛋糕摔得稀巴烂。后来我道歉了，——我们的每一次争执都以我的道歉结束，也只能以我的道歉结束。我问她为什么不买呢？她有点躲闪地说因为找不到那家店，我说有导航啊，然后给她看了一下最近的店铺，她就有点茫然地喃喃自语：原来这么近啊。

那是我印象最深的一次生日。

印象第二深刻的生日，是回老家扫墓那次。我的生日离清明节很近。当时大概初一还是初二吧，心思还很敏感。当时我爸我妈说把蛋糕带回老家给我过生日，结果他们忙了一天没有顾得上我，我就有点委屈。我妈看出来了，就把蛋糕拿出来了开始过生日，我更委屈了很想哭，但好面子不想让别人看到，就去厕所哭了，我妈有些生气，在看到我进了厕所还反锁了门以后就更生气了。当时的场景不得不说还挺戏剧的：我在厕所里哭，窗外下着大雨，我妈发疯一样捶打着厕所门，声嘶力竭地威胁我要是再不开门，她就冲出去淋雨。

我有一段时间害怕过生日，害怕过自己的，更害怕过我妈的。她的生日我必须要记住，必须要送祝福，必须要送有心意的礼物；而我的生日常常发生争执，我后来仔细想了想，觉着大概是她觉得我的生日是她的受难日，我应该满怀感恩的报答，而不是不管不顾地向她索取。同理，我也特别害怕过母亲节。

不过话说回来，看到这一段为什么这么感慨呢？前年的时候，和我妈外出吃饭，突然聊到生日了，我当时已经释怀很多，开玩笑地提起来，说你还摔过我蛋糕呢。我妈大为惊讶，说我怎么可能干这种事情？我有点茫然，也有点难过，于是详细地描述了当时发生的事情。我妈还是不信，不过也许信了吧，我也不知道。她一直在说，怎么可能，怎么可能，我怎么可能做这种事情呢？

说这眉宇间突然升腾起一种我非常熟悉的、恼羞成怒的表情，我甚至知道她要说什么，——“我给你做过的事情这么多，你怎么就光记着不好的，还揪着不放？”

她说了一半，生气的情绪还没有酝酿起来，我就连忙打断了。我真的很害怕我和她的冲突，因为根本没有结果，只有我的妥协。

我说，哎呀，不用在意了，忘了就忘了吧，都过去了。
都过去了。",2023-08-27 21:35:55
332,16964,"这个和事佬土耳其是当定了？

据传土耳其将再次派人去俄罗斯，为两国长期和平做努力，表面上看一下子就把土耳其的国际形象拔高了不少，多好啊，多正直的一个国家。

真是这样？真有那么好？我看未必。

土耳其外交部长哈坎·菲丹将于9月初访问莫斯科，计划与俄方就粮食协议、俄乌谈判以及天然气枢纽项目等问题进行讨论。

这个消息是参考消息网8月26日报道的。

这个消息得到了俄罗斯外交部副部长谢尔盖·里亚布科夫的确认，他说：“让他们首先履行他们承诺了很多次却没有做到的一切，然后我们再考虑这种情况。如果他们真的提供了讨论这么久的一切，那么俄罗斯将全面重返粮食协议，即黑海倡议。”

俄罗斯的态度很明确，很简单，你要谈可以谈，但是你得说到做到，俄罗斯谈判的大门还是敞开的。

为什么俄罗斯会有这种反应？还不是被乌克兰和土耳其坑过了。

事情是这样的。

去年9月，土耳其插手了俄罗斯和乌克兰的换俘行动，在土耳其的斡旋下，俄罗斯同意释放乌克兰方的5名军队高级指挥官，前提是这些人必须留在土耳其，直至冲突结束。

可是乌克兰和土耳其这两个国家不讲武德啊。今年7月8日，泽连斯基结束访问土耳其，带走了那几名战俘，根据去年达成的换俘协议，这些人本应留在土耳其的。

这让俄罗斯怎么能不生气。

克里姆林宫当即就发表声明，谴责土耳其违背声明释放乌克兰战俘。

俄罗斯总统新闻秘书佩斯科夫说：“没有人通知我们这件事。根据协议，这些指挥官应留在土耳其境内，直至冲突结束。”

本来土耳其的国际名声就已经够“响”的了，现在还这样，土耳其哪里还有什么信用可言。这段时间土耳其是真够忙的，25日才去乌克兰，和泽连斯基见上了，现在又准备去俄罗斯，他凭什么可以如此频繁地插手俄乌冲突中来？

说到底还是为了自己的利益。

有粮食协议的时候，土耳其以低价大量从俄罗斯和乌克兰两个国家收购原材料，经过加工后卖给国内外市场，赚到了不少钱。现在俄罗斯废除了该协议，一切进出黑海的船只都受到了严格的审查，进入土耳其钱包的数额大幅减少，土耳其怎能不急。

再有一个，黑海通道是由土耳其控制的，所以进进出出的船只都要与土耳其这个东家打好招呼吧，这可以为土耳其拉来不少人脉、利益，土耳其不可能甘心就这样放弃。

当年我们辽宁舰在土耳其所受的屈辱还历历在目。

所以，土耳其方说访问莫斯科是为了俄乌谈判、粮食协议和天然气枢纽项目，说到底还是为了从中获取利益，什么调停俄乌冲突，他就没那个本事。

我们不妨延申一下话题，世界上谁可以调停俄乌冲突？

首先这个国家需要具备至少三点：

1、持中立态度，不偏袒任何一方

2、有专业的知识，至少是有经验的

3、调停方得到了双方当事人的认可

能做到这几点的可不多，要别人认可首先是你得有相应的实力，中国、美国、印度、巴西都可以算是有实力。

美国自然是不行的，巴西的方案被拒绝，印度加入了制裁俄罗斯的行列。那就只有中国了。

中国和谁都保持良好关系，虽然乌克兰马达西奇公司对中国毁约，但不可否认我们也从那里买来了瓦格良号，和俄罗斯更不用说。中国支持和平解决，始终不说让谁放弃什么。

中国有着丰富的相关经验，现在中国外交官在巴以地区努力着，希望能给给地区带来长久的和平。而且沙特和伊朗这两个断交长达7年的国家重新握手言和，证明着中国有这个经验去做“和事佬”，这也体现了中国奉行的和平外交。

资历什么的中国都有了，中国也亲自去调和了，至于他们听不听，反正中国不是当事方。",2023-08-27 22:08:47
333,17015,"【#美军计划买铁穹提升反巡航导弹能力#】美国海军陆战队计划购买近两千枚以色列研制的“铁穹”拦截弹。

铁穹”系统发射拦截弹。据报道，美国海军陆战队计划采购3个连规模的“铁穹”防空反导系统，其中包括44个导弹发射装置、1840枚拦截弹以及相关的配套系统。报道称，此举是为了提升陆战队应对巡航导弹的能力。美国陆军此前曾购买两套“铁穹”系统进行试验，但因无法整合到陆军防空反导系统，与“爱国者”、“萨德”等导弹系统进行联合作战，美国陆军最终放弃后续采购计划。美国海军陆战队在2022年也对该系统进行了试验，试验获得成功。

“铁穹”是以色列拉斐尔先进防御系统公司研制的近程防空反导系统，主要用于拦截火箭弹、炮弹、迫击炮等高速小型目标，同时也可以拦截无人机、巡航导弹等慢速目标。“铁穹”系统研制之初就非常重视低成本，“塔米尔”导弹单价10万-15万美元，低于动辄几十万的拦截弹。

“铁穹”系统主要由“塔米尔”拦截弹、EL/M-2084多任务雷达、火控中心等组成。一套“铁穹”火力单元包括一部EL/M-2084多任务雷达、一个火控中心，三个发射架，一套“铁穹”火力单元设计用于防御150平方千米的区域。

“铁穹”系统服役之后多次在巴以冲突中使用，表现可圈可点，根据以色列公布的信息，从2005年到现在，“铁穹”系统已成功拦截了2000多枚火箭弹和各种炮弹，成功率超过90％。（澎湃新闻）",2023-08-28 15:30:20
334,17066,"【意前总理孔特：西方没能在冲突中击败俄罗斯，还凸显出欧盟对美国的屈从】据“今日俄罗斯”网站消息，意大利五星运动党主席、前总理朱塞佩·孔特当地时间8月26日表示，西方“完全没有实现”利用乌克兰冲突击败俄罗斯的目的，既没能孤立俄罗斯并击垮其军队，也没能破坏或削弱俄罗斯经济，反而暴露出欧盟缺乏共同战略和行使自主领导力的弱点，凸显出欧盟对美国的卑躬屈膝。

孔特当天在社交媒体脸书上写道，北约完全没有实现在乌克兰冲突中击败俄罗斯的目的，俄罗斯在乌克兰无力的反攻和西方制裁中坚持了下来。他认为，俄乌之间长达一年半的战斗已经表明，是时候“放弃在西方喧闹且肤浅的战争宣传下形成的乐观评估了”。

孔特表示，迄今为止，以美国为首的军事集团的战略依赖于对基辅的大规模军事援助和“升级（战争）逻辑”，但俄罗斯军队并未像人们期待的那样溃败。他回忆说，自5月俄军拿下顿巴斯地区的关键据点巴赫穆特以来，乌克兰军队从未在那里击退俄军。

“（俄罗斯）军事和准军事机构没有溃败，也没有因乌克兰的反攻而撤退。”孔特补充道，西方对俄罗斯国内出现政治动荡的愿望也没有实现。

他说，与此同时，西方对俄罗斯实施的严厉制裁“并没有使俄罗斯破产或削弱其经济”，西方长期以来孤立莫斯科的目标“根本没有实现”。

孔特还提到了近期举行的广受关注的金砖国家峰会，他称俄罗斯正是金砖成员国，而金砖国家机制正在以前所未有的速度扩张。

孔特强调，乌克兰冲突“暴露了欧盟无法制定有效的共同战略，也无法行使自主的政治和经济领导力（的弱点）。”这也成为了欧盟向美国卑躬屈膝的又一个证明。
来风闻看全文，参与更多讨论→",2023-08-28 17:00:00
335,17117,"【最后一击！乌克兰与北约达成意见：全力进攻扎波罗热，兵临克里米亚！】

目前，俄乌军事冲突已经爆发550天。

昨天，《纽约时报》突然刊发了一篇题为《Ukr Commander Urges More Defenses in the Northeast》（乌克兰指挥官敦促加强东北战线防御）的文章。

文章中指出，乌军内部正在就当下的战役重点发生争论，以乌军陆军司令希尔斯基上将为代表的人物，力主加强乌军在卢甘斯克战线的防御——因为俄军据说在这条战线集中了超过10万大军，未来2个月大概率会有大动作，乌军如果把兵力从这里抽走，那就变成空城计了。而以扎卢日尼上将为代表的人物则力主乌军应该全力以赴反攻扎波罗热，为此应当暂停在卢甘斯克和阿特木斯克（巴赫穆特）战线的行动。

且显而易见，扎卢日尼上将得到了北约军事集团的支持。据称就在上周，扎卢日尼到波兰边境秘密会见了以英军国防参谋长托尼·拉达金为代表的北约军方高层。北约军方高层敦促扎卢日尼加强在扎波罗热方向的进攻，其它战线暂时都不用管了，而且要避免这种实施梯队攻击的方式，全力以赴攻击特定战线。

从目前的情况看，尽管还不清楚希尔斯基的意图有没有得到贯彻，在扎波罗热战线，交战强度倒是骤然上升。在8月24日乌军终于突入萝卜村（罗博季涅）之后，据称最近这几天，乌军一直以波浪式进攻的方式，不惜代价、不惜人命，拼命往萝卜村以南和萝卜村村东发起进攻。按照俄军一线部队的说法，俄军炮兵对乌军的攻击浪头实施拼命拦阻，几乎要把乌军“撕裂”……截止大伊万写稿的时候，据说乌军还在萝卜村的村北和村中踟蹰，一无法建立稳固立足点，二也无法向村南进展。从交战强度看，这可能是扎波罗热反攻以来，俄乌两军在萝卜村方向展开的，规模最大交战烈度最高，打的最惨烈的大战。

关于乌军目前的行动……大伊万的解读，无论是乌军还是背后的北约，已经有点急了，毕竟再过几天就是大反攻三个月的节点了。按照乌军一般四个月的作战周期来看，也从乌军当前正在讨论进行新一轮动员的情况看，再考虑到九月底即将进入秋雨季节，乌军的战役行动即将进入强弩之末，需要六到八个月才能恢复进攻能力。如果计划将近一年的扎波罗热大反攻打到最后居然就是这样一个结果的话，无论是乌克兰还是北约都是不可接受的。首先是从国民士气和支持度的角度来看，如果乌军打到最后无功而返，必将引发北约各国极大的质疑，乃至对北约、主要是已经饱受去工业化之苦的欧洲国家造成巨大的影响，搞不好会造成欧洲的态度分裂，这后果非常严重。

从北约整体战略设计的角度，我们之前说了，北约的整体战略，就是希望乌军兵临克里米亚，然后对俄罗斯搞以战迫和。没有达到这一战役目标，那北约的战略设计就无法达成，后续试图展开的对俄操作就显然是无本之木。在北约的观点来看，只有克里米亚才是俄罗斯的命门，无论是北线还是中线，都是无足轻重的，就算现在丢了，只要兵临克里米亚，那俄军迟早也会把这些地方给吐出来。北约的整体战略设计，都是基于这一想定展开的，当然俄罗斯会不会买账就不清楚了……也正因为如此，北约才做出了让乌军别管其它战线，全力以赴梭哈扎波罗热的判断。

因此，无论如何，大伊万认为，乌军在未来这一个月中，估计会真正做到压上全部老本——把所有能用的炮弹统统打出去，哪怕尸山血海也要试一试能不能突破俄军在扎波罗热的防御地幅，至于俄军后续可能会采取的反攻动作，那乌军更是不管不顾了。当然，这意味着未来一个月，到十月一日前，乌军的行动会呈现出疯狂状态，俄军能不能顶得住乌军这最后一击，我们拭目以待。",2023-08-28 21:00:00
336,17168,利比亚外交部长曼古什因上周在意大利会见以色列外交部长伊莱·科恩而被解雇，现已逃往土耳其。#巴以冲突# 利比亚众议院和总统委员会的消息人士证实，她已被免职。周日，利比亚总理下令暂停曼古什的职务，并对这位官员发布了旅行禁令。众议院消息人士表示：“这已经成为一个非常大的问题。总理的处境很艰难。”“政府面临着来自各方的压力——来自议会、总统委员会等政治机构以及当地部队。人们不再只关心外交部长。”利比亚国土安全部否认曼古什女士通过的黎波里附近的迈蒂加机场，无论是通过“常规、私人还是总统大厅”，并补充说“监控摄像头会显示这一点”。周日，抗议者放火焚烧了总理的房子，指责他知道这次会议。巴勒斯坦驻利比亚大使在接受采访时表示，总理已经访问了大使馆，重申了他对巴勒斯坦事业的支持，并证实他已经解雇了曼古什女士。会议消息传出后，利比亚外交部还重申了该国对巴勒斯坦问题的支持，“强调耶路撒冷是巴勒斯坦的永恒首都”。声明称，曼古什女士“拒绝与以色列实体的代表举行任何会议”，在罗马举行的会议是“计划外的”和“随意的”。曼古什女士代表联合国认可的的黎波里政府，是首位担任利比亚外交部长的女性。#利比亚##以色列##阿以冲突##巴勒斯坦# @欧玛omar,2023-08-29 12:14:39
